Sigla Empresa,Nombre,Fecha,Año,Número de Mes,Origen,Nombre,Ciudad Origen,Pais Origen,Destino,Nombre,Ciudad Destino,Pais Destino,Tráfico (N/I),Tipo Vuelo,Pasajeros,PesoCargaYCorreo
0ED,GOOD FLY CO SAS,01-dic-21 00:00:00,2021,12,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,COLOMBIA,EBG,EL BAGRE,EL BAGRE,COLOMBIA,N,T,2,60
0ED,GOOD FLY CO SAS,01-dic-21 00:00:00,2021,12,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,COLOMBIA,SRS,SAN MARCOS - EL ALGARROBO,SAN MARCOS,COLOMBIA,N,T,2,50
0ED,GOOD FLY CO SAS,01-dic-21 00:00:00,2021,12,SRS,SAN MARCOS - EL ALGARROBO,SAN MARCOS,COLOMBIA,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,COLOMBIA,N,T,2,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,ARQ,ARAUQUITA - EL TRONCAL,ARAUQUITA,COLOMBIA,AUC,ARAUCA - SANTIAGO PEREZ QUIROZ,ARAUCA - MUNICIPIO,COLOMBIA,N,T,0,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,AUC,ARAUCA - SANTIAGO PEREZ QUIROZ,ARAUCA - MUNICIPIO,COLOMBIA,ARQ,ARAUQUITA - EL TRONCAL,ARAUQUITA,COLOMBIA,N,T,1,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,AUC,ARAUCA - SANTIAGO PEREZ QUIROZ,ARAUCA - MUNICIPIO,COLOMBIA,RVE,SARAVENA-COLONIZADORES,SARAVENA,COLOMBIA,N,T,1,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,AUC,ARAUCA - SANTIAGO PEREZ QUIROZ,ARAUCA - MUNICIPIO,COLOMBIA,TME,TAME,TAME,COLOMBIA,N,T,4,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,EYP,EL YOPAL,EL YOPAL,COLOMBIA,ORC,OROCUE,OROCUE,COLOMBIA,N,T,0,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,EYP,EL YOPAL,EL YOPAL,COLOMBIA,PCE,CUMARIBO,PUERTO CARRENO,COLOMBIA,N,T,0,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,EYP,EL YOPAL,EL YOPAL,COLOMBIA,PIM,LA PRIMAVERA,LA PRIMAVERA,COLOMBIA,N,T,0,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,EYP,EL YOPAL,EL YOPAL,COLOMBIA,RAV,CRAVO NORTE,CRAVO NORTE,COLOMBIA,N,T,5,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,EYP,EL YOPAL,EL YOPAL,COLOMBIA,RVE,SARAVENA-COLONIZADORES,SARAVENA,COLOMBIA,N,T,0,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,EYP,EL YOPAL,EL YOPAL,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,5,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,PIM,LA PRIMAVERA,LA PRIMAVERA,COLOMBIA,N,T,0,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,ORC,OROCUE,OROCUE,COLOMBIA,EYP,EL YOPAL,EL YOPAL,COLOMBIA,N,T,2,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,PCE,CUMARIBO,PUERTO CARRENO,COLOMBIA,EYP,EL YOPAL,EL YOPAL,COLOMBIA,N,T,2,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,PIM,LA PRIMAVERA,LA PRIMAVERA,COLOMBIA,SRO,SANTA ROSALIA,SANTA ROSALIA,COLOMBIA,N,T,0,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,PIM,LA PRIMAVERA,LA PRIMAVERA,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,2,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,RAV,CRAVO NORTE,CRAVO NORTE,COLOMBIA,EYP,EL YOPAL,EL YOPAL,COLOMBIA,N,T,17,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,RVE,SARAVENA-COLONIZADORES,SARAVENA,COLOMBIA,AUC,ARAUCA - SANTIAGO PEREZ QUIROZ,ARAUCA - MUNICIPIO,COLOMBIA,N,T,0,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,RVE,SARAVENA-COLONIZADORES,SARAVENA,COLOMBIA,PCE,CUMARIBO,PUERTO CARRENO,COLOMBIA,N,T,2,0
