CODIGOTX,MOTIVOCAPTURA,ATRIB
HV,HV,5400000.0
HZ,HZ,50000000.0
IF,A6,15000000.0
IF,IF,5000000000.0
IN,6W,50000000.0
IN,D1,20000000.0
IN,D2,50000000.0
IN,D3,8000000.0
IN,J6,50000000.0
IN,YY,6000000.0
IQ,IQ,50000000.0
IT,DA,50000000.0
IU,IU,50000000.0
IV,D1,50000000.0
IV,DK,40000000.0
IV,IV,15000000.0
IW,D1,50000000.0
IW,IW,5000000.0
IZ,IZ,11500000.0
J4,J4,50000000.0
J5,J5,50000000.0
JA,JA,1000000.0
JB,JB,1000000.0
JC,JC,3500000.0
JD,JD,30000000.0
JE,JI,39000000.0
JF,JF,14000.0
JG,AB,50000000.0
JG,AE,2100000.0
JG,FF,50000000.0
JG,GG,50000000.0
JG,JG,5000000.0
JG,K1,3000000.0
JG,K2,500000.0
JG,K3,100000.0
JG,K4,50000000.0
JG,K5,22000000.0
JG,K6,50000000.0
JG,K7,48000.0
JG,K8,500000.0
JG,K9,50000000.0
JG,Z6,12000000.0
JG,Z7,50000000.0
JI,JK,105000.0
JK,JL,50000000.0
JL,CT,20000000.0
JL,D1,50000000.0
JL,DK,10000000.0
JM,JM,50000000.0
JP,JP,50000000.0
JT,6W,50000000.0
JT,D1,8100000.0
JT,D2,50000000.0
JT,D3,11000000.0
JT,J6,50000000.0
JT,YY,520000.0
JU,JH,50000000.0
JX,JX,7000000.0
JZ,JZ,100000.0
K0,K0,50000.0
K4,P2,12000000.0
K5,P3,50000000.0
KE,KE,30000000.0
KG,KG,75000000.0
KI,KI,200000.0
KJ,KJ,18000000.0
KN,KN,50000000.0
KO,KO,50000000.0
KP,KP,1000000.0
KP,X5,200000.0
KX,KX,30000.0
KY,KY,1350000.0
KZ,KZ,50000000.0
L0,L0,50000000.0
L4,L4,50000000.0
L9,L9,20000000.0
LA,LA,1500000.0
LE,LE,50000000.0
LF,LF,50000000.0
LG,LG,1000000.0
LH,LH,11000000.0
LJ,LJ,7000000.0
LM,LM,50000000.0
LN,LN,50000000.0
LU,LU,15000000.0
M0,M0,50000000.0
MF,X9,7268208.0
MH,MH,40000.0
ML,TG,100000.0
MN,D1,1800000.0
MN,MN,28800000.0
MO,D1,50000000.0
MO,DK,30000000.0
MP,TG,1000000.0
MQ,TG,1000000.0
NC,N1,50000000.0
ND,F2,3000000.0
ND,ND,3000000.0
NH,DK,10000000.0
NL,NL,50000000.0
NM,N2,50000000.0
NU,NU,2000000.0
O5,O5,50000000.0
O6,O6,50000000.0
OB,OB,50000000.0
OF,OF,50000000.0
OK,OK,50000000.0
PC,PC,45000000.0
PE,PE,30000000.0
PH,DK,30000000.0
PP,C7,50000000.0
PR,A5,295000000.0
PS,PS,500000.0
Q0,B0,10000000.0
Q2,D1,50000000.0
Q2,P0,50000000.0
Q3,AA,50000000.0
Q3,D1,50000000.0
Q4,EE,50000000.0
QC,QC,6000000.0
QE,QE,50000000.0
QS,QS,2000000.0
R0,R0,5000000000.0
R9,R9,15000000.0
RD,A6,8000000.0
RS,9A,200000.0
RV,Y6,400000.0
S0,D6,50000000.0
S2,TG,1000000.0
S3,TG,1000000.0
SB,Z1,50000000.0
SC,SC,50000000.0
SE,DY,50000000.0
SG,SG,50000000.0
T2,T2,2000000.0
TM,TM,1000000.0
TN,TN,120000.0
TO,TO,50000000.0
TP,TG,100000.0
TQ,TG,10000.0
TR,CE,20000000.0
W1,W1,50000000.0
X1,Y2,320000.0
X2,UT,200000.0
X5,Y2,20000.0
X6,Y2,120000.0
X7,Y2,10000.0
X8,Y2,100000.0
Y0,D1,50000000.0
Y0,Y0,1600000.0
Z2,Z2,50000000.0
Z3,Z3,50000000.0
